hypothesis_id,birth_model,direction_source,split_version,fold_id,train_period,fit_row_count,fit_actual_max_as_of,fit_max_as_of_bound,fit_partitions,fit_group_count,calibration_fit_hash,calibration_version,holdout_freeze_bound,freeze_bound_exceeded,freeze_bound_note,test_period,test_row_count,stock_count,event_count,sample_count,mean_excess_return,up_rate,sign,negative_control_mean_excess_return,negative_control_p_value,research_status,horizon_5d_sample_count,horizon_5d_mean_excess_return,horizon_10d_sample_count,horizon_10d_mean_excess_return,horizon_20d_sample_count,horizon_20d_mean_excess_return,horizon_60d_sample_count,horizon_60d_mean_excess_return
HYP-BZ-CAL-001,listing_open_v1,calibrated,phase3-oos-v1,WF-2015,"['2010-01-01', '2014-12-31']",49788,2014-10-01,2014-12-31,['TRAIN'],9,4451a69b6ce400a7,cal-wf-2015,2018-12-31,False,训练前缀落在 cal-v1 fit 区间内,"['2015-01-01', '2015-12-31']",11061,133,234,233,0.064211,0.575107,1,0.320785,1.0,NO_SIGNAL,234,-0.020745,233,0.021219,233,0.064211,231,0.198865
HYP-BZ-CAL-001,listing_open_v1,calibrated,phase3-oos-v1,WF-2016,"['2010-01-01', '2015-12-31']",60849,2015-10-01,2015-12-31,['TRAIN'],9,07c9ae1d207382d6,cal-wf-2016,2018-12-31,False,训练前缀落在 cal-v1 fit 区间内,"['2016-01-01', '2016-12-31']",11241,207,397,397,-0.02258,0.395466,-1,0.150822,1.0,NO_SIGNAL,397,0.006276,397,-0.00035,397,-0.02258,392,-0.01638
HYP-BZ-CAL-001,listing_open_v1,calibrated,phase3-oos-v1,WF-2017,"['2010-01-01', '2016-12-31']",72090,2016-10-01,2016-12-31,['TRAIN'],9,e24a507bb3bd3c83,cal-wf-2017,2018-12-31,False,训练前缀落在 cal-v1 fit 区间内,"['2017-01-01', '2017-12-31']",11817,144,219,218,-0.087448,0.169725,-1,-0.007087,1.0,NO_SIGNAL,218,-0.02945,218,-0.070406,218,-0.087448,214,-0.135834
HYP-BZ-CAL-001,listing_open_v1,calibrated,phase3-oos-v1,WF-2018,"['2010-01-01', '2017-12-31']",83907,2017-10-01,2017-12-31,['TRAIN'],9,4910a061da42984c,cal-wf-2018,2018-12-31,False,训练前缀落在 cal-v1 fit 区间内,"['2018-01-01', '2018-12-31']",12249,151,257,255,-0.064363,0.321569,-1,-0.033429,0.9751243781094527,NO_SIGNAL,257,-0.038234,256,-0.058573,255,-0.064363,252,-0.060606
HYP-BZ-CAL-001,listing_open_v1,calibrated,phase3-oos-v1,WF-2019,"['2010-01-01', '2018-12-31']",96156,2018-10-01,2018-12-31,['TRAIN'],9,7e9897570d3b5a28,cal-wf-2019,2018-12-31,False,训练前缀落在 cal-v1 fit 区间内,"['2019-01-01', '2019-12-31']",12168,144,275,275,-0.081075,0.210909,-1,-0.069002,0.8059701492537313,NO_SIGNAL,275,-0.020837,275,-0.030244,275,-0.081075,263,-0.035246
HYP-BZ-CAL-001,listing_open_v1,calibrated,phase3-oos-v1,WF-2020,"['2010-01-01', '2019-12-31']",108324,2019-10-01,2019-12-31,"['TRAIN', 'VALIDATION']",9,033ca6ada2d5cbd7,cal-wf-2020,2018-12-31,True,扩窗训练前缀越过 cal-v1 的 fit 上界（holdout 协议专属），仍严格早于测试年,"['2020-01-01', '2020-12-31']",11988,176,304,301,-0.083351,0.299003,-1,-0.070036,0.8606965174129353,NO_SIGNAL,303,-0.027361,303,-0.041707,301,-0.083351,281,-0.03922
HYP-BZ-CAL-001,listing_open_v1,calibrated,phase3-oos-v1,WF-2021,"['2010-01-01', '2020-12-31']",120312,2020-10-01,2020-12-31,"['TRAIN', 'VALIDATION']",9,d591405dff781320,cal-wf-2021,2018-12-31,True,扩窗训练前缀越过 cal-v1 的 fit 上界（holdout 协议专属），仍严格早于测试年,"['2021-01-01', '2021-12-31']",11952,148,259,258,-0.036845,0.348837,-1,-0.038423,0.4527363184079602,NO_SIGNAL,259,-0.009849,258,-0.018859,258,-0.036845,250,0.072943
HYP-BZ-CAL-001,listing_open_v1,calibrated,phase3-oos-v1,WF-2022,"['2010-01-01', '2021-12-31']",132264,2021-10-01,2021-12-31,"['TRAIN', 'VALIDATION']",9,d8d6c61311828cbd,cal-wf-2022,2018-12-31,True,扩窗训练前缀越过 cal-v1 的 fit 上界（holdout 协议专属），仍严格早于测试年,"['2022-01-01', '2022-12-31']",11241,213,491,484,-0.015795,0.52686,-1,-0.015911,0.4975124378109453,NO_SIGNAL,488,0.010726,488,0.007728,484,-0.015795,461,0.02143
HYP-BZ-CAL-001,listing_open_v1,calibrated,phase3-oos-v1,WF-2023,"['2010-01-01', '2022-12-31']",143505,2022-10-01,2022-12-31,"['TRAIN', 'VALIDATION']",9,93215bd397863adb,cal-wf-2023,2018-12-31,True,扩窗训练前缀越过 cal-v1 的 fit 上界（holdout 协议专属），仍严格早于测试年,"['2023-01-01', '2023-12-31']",10134,118,212,208,-0.005273,0.466346,-1,-0.009156,0.3781094527363184,NO_SIGNAL,211,-0.013505,208,-0.028418,208,-0.005273,203,0.019346
HYP-BZ-CAL-001,listing_open_v1,calibrated,phase3-oos-v1,WF-2024,"['2010-01-01', '2023-12-31']",153639,2023-10-01,2023-12-31,"['OOS', 'TRAIN', 'VALIDATION']",9,f5c0e0fc383db82d,cal-wf-2024,2018-12-31,True,扩窗训练前缀越过 cal-v1 的 fit 上界（holdout 协议专属），仍严格早于测试年,"['2024-01-01', '2024-12-31']",8622,136,246,239,-0.064381,0.301255,-1,-0.038873,0.9900497512437811,NO_SIGNAL,245,-0.018867,245,-0.039504,239,-0.064381,232,-0.083703
