run_version,hypothesis_id,object_id,birth_model,dimension,status,sign_agreement,stable,detail,slices
phase3f-run-v1,HYP-BZ-RAW-001,bazi_raw,ipo_approx_v1,year,OK,1.0,True,4/4 个切片可判定；符号一致性 1.0,"[{'dimension': 'year', 'label': '2023', 'event_count': 1042, 'date_count': 4, 'effect': -0.01913406, 'effect_t': np.float64(-0.656404)}, {'dimension': 'year', 'label': '2024', 'event_count': 848, 'date_count': 4, 'effect': -0.03614261, 'effect_t': np.float64(-0.721468)}, {'dimension': 'year', 'label': '2025', 'event_count': 749, 'date_count': 4, 'effect': -0.00967509, 'effect_t': np.float64(-0.601672)}, {'dimension': 'year', 'label': '2026', 'event_count': 492, 'date_count': 3, 'effect': -0.00772739, 'effect_t': np.float64(-0.202005)}]"
phase3f-run-v1,HYP-BZ-RAW-001,bazi_raw,ipo_approx_v1,segment,OK,1.0,True,5/5 个切片可判定；符号一致性 1.0,"[{'dimension': 'segment', 'label': 'chinext', 'event_count': 728, 'date_count': 15, 'effect': -0.02650108, 'effect_t': np.float64(-1.433059)}, {'dimension': 'segment', 'label': 'sse_main', 'event_count': 1095, 'date_count': 15, 'effect': -0.01693539, 'effect_t': np.float64(-0.917156)}, {'dimension': 'segment', 'label': 'star', 'event_count': 280, 'date_count': 15, 'effect': -0.00739798, 'effect_t': np.float64(-0.359728)}, {'dimension': 'segment', 'label': 'szse_main', 'event_count': 409, 'date_count': 15, 'effect': -0.01891428, 'effect_t': np.float64(-0.856599)}, {'dimension': 'segment', 'label': 'szse_sme_legacy', 'event_count': 619, 'date_count': 15, 'effect': -0.01599874, 'effect_t': np.float64(-0.889653)}]"
phase3f-run-v1,HYP-BZ-RAW-001,bazi_raw,ipo_approx_v1,universe_subset,OK,0.5,False,2/2 个切片可判定；符号一致性 0.5,"[{'dimension': 'universe_subset', 'label': 'active', 'event_count': 2277, 'date_count': 15, 'effect': 0.0032204, 'effect_t': np.float64(0.311411)}, {'dimension': 'universe_subset', 'label': 'delisted', 'event_count': 854, 'date_count': 14, 'effect': -0.12159693, 'effect_t': np.float64(-1.772119)}]"
phase3f-run-v1,HYP-BZ-RAW-001,bazi_raw,ipo_approx_v1,market_regime,OK,1.0,True,2/2 个切片可判定；符号一致性 1.0,"[{'dimension': 'market_regime', 'label': 'down', 'event_count': 1665, 'date_count': 8, 'effect': -0.01934787, 'effect_t': np.float64(-0.999947)}, {'dimension': 'market_regime', 'label': 'up', 'event_count': 1466, 'date_count': 7, 'effect': -0.01831518, 'effect_t': np.float64(-0.652119)}]"
phase3f-run-v1,HYP-BZ-RAW-001,bazi_raw,ipo_approx_v1,non_overlapping,OK,,True,相邻采样点相隔 57–65 个交易日，持有期 20D；重叠对占比 0.0000（0 表示事件窗口完全不重叠）,[]
phase3f-run-v1,HYP-BZ-RAW-001,bazi_raw,ipo_approx_v1,adj_snapshot,OK,,True,仅能由退市补丁提供除权因子的股票占比 0.179168；两个快照对 500 只股票并集覆盖，未发现未覆盖行。,[]
phase3f-run-v1,HYP-BZ-RAW-001,bazi_raw,listing_close_v1,year,OK,1.0,True,4/4 个切片可判定；符号一致性 1.0,"[{'dimension': 'year', 'label': '2023', 'event_count': 944, 'date_count': 4, 'effect': -0.02016461, 'effect_t': np.float64(-0.6544)}, {'dimension': 'year', 'label': '2024', 'event_count': 841, 'date_count': 4, 'effect': -0.03784242, 'effect_t': np.float64(-0.738972)}, {'dimension': 'year', 'label': '2025', 'event_count': 757, 'date_count': 4, 'effect': -0.00941843, 'effect_t': np.float64(-0.62096)}, {'dimension': 'year', 'label': '2026', 'event_count': 510, 'date_count': 3, 'effect': -0.00445037, 'effect_t': np.float64(-0.114389)}]"
phase3f-run-v1,HYP-BZ-RAW-001,bazi_raw,listing_close_v1,segment,OK,1.0,True,5/5 个切片可判定；符号一致性 1.0,"[{'dimension': 'segment', 'label': 'chinext', 'event_count': 732, 'date_count': 15, 'effect': -0.02712231, 'effect_t': np.float64(-1.432592)}, {'dimension': 'segment', 'label': 'sse_main', 'event_count': 1071, 'date_count': 15, 'effect': -0.01532276, 'effect_t': np.float64(-0.835298)}, {'dimension': 'segment', 'label': 'star', 'event_count': 262, 'date_count': 15, 'effect': -0.01409801, 'effect_t': np.float64(-0.734317)}, {'dimension': 'segment', 'label': 'szse_main', 'event_count': 386, 'date_count': 15, 'effect': -0.01790222, 'effect_t': np.float64(-0.857962)}, {'dimension': 'segment', 'label': 'szse_sme_legacy', 'event_count': 601, 'date_count': 15, 'effect': -0.0159014, 'effect_t': np.float64(-0.861242)}]"
phase3f-run-v1,HYP-BZ-RAW-001,bazi_raw,listing_close_v1,universe_subset,OK,0.5,False,2/2 个切片可判定；符号一致性 0.5,"[{'dimension': 'universe_subset', 'label': 'active', 'event_count': 2234, 'date_count': 15, 'effect': 0.0032704, 'effect_t': np.float64(0.305815)}, {'dimension': 'universe_subset', 'label': 'delisted', 'event_count': 818, 'date_count': 14, 'effect': -0.12277001, 'effect_t': np.float64(-1.766284)}]"
phase3f-run-v1,HYP-BZ-RAW-001,bazi_raw,listing_close_v1,market_regime,OK,1.0,True,2/2 个切片可判定；符号一致性 1.0,"[{'dimension': 'market_regime', 'label': 'down', 'event_count': 1594, 'date_count': 8, 'effect': -0.01840564, 'effect_t': np.float64(-0.968763)}, {'dimension': 'market_regime', 'label': 'up', 'event_count': 1458, 'date_count': 7, 'effect': -0.01940112, 'effect_t': np.float64(-0.654408)}]"
