hypothesis_id,birth_model,partition,direction_source,split_version,control_kind,control_description,event_count,jaccard_with_real,overlap_with_real,expected_overlap_fraction,mean_return,mean_excess_return,up_rate,delta_mean_excess_vs_real,p_value,p_value_lower,p_value_upper,p_value_method,draws,control_mean_std,decisive,verdict,warnings
HYP-BZ-RAW-001,listing_open_v1,OOS,raw,phase3-oos-v1,random_event_position,"从同一分区的可用 (股票, as_of) 池中随机抽取与真实事件相同数量的事件（200 次置换），检验真实事件位置是否优于随机位置。",3132,0.859227,3003.0,0.951108,-0.022827,-0.022827,0.447312,0.001399,0.03980099502487562,0.9651741293532339,0.03980099502487562,permutation_one_sided,200.0,0.000672,True,outperform,
HYP-BZ-RAW-001,listing_open_v1,OOS,raw,phase3-oos-v1,random_birth_assignment,在同一 as_of 内把命盘（引擎方向向量）随机置换到池内其它股票，保持每日横截面分布不变，破坏「股票↔命盘」对应关系。,3132,,,,-0.021178,-0.021178,,-0.000249,0.6318407960199005,0.373134328358209,0.6318407960199005,permutation_one_sided,200.0,0.000822,True,underperform,随机出生指派只检验『股票↔命盘对应关系』是否携带信息，不能检验「同一命盘在不同日期是否有效」；后者由随机事件位置对照承担。
HYP-BZ-RAW-001,listing_open_v1,OOS,raw,phase3-oos-v1,random_model_direction,在每个 as_of 内保持命中数量不变，把命中位置随机重新指派给池内股票，检验「具体哪些股票命中」是否携带信息。,3132,,,,-0.021162,-0.021162,,-0.000265,0.6766169154228856,0.3283582089552239,0.6766169154228856,permutation_one_sided,200.0,0.00068,True,underperform,本对照只随机化命中位置，保留每日命中数量；若真实事件集合接近整个池（如原始 BAZI_POS 正向率 96%），本对照会退化。
HYP-BZ-RAW-001,listing_open_v1,OOS,raw,phase3-oos-v1,shifted_birth_date_minus_7d,把出生时间平移 -7 天后重新排盘、重算因子，在真实 TRAIN 冻结阈值下重新求解事件集合。,3366,0.911957,3211.0,,-0.020725,-0.020725,0.450016,-0.000702,0.8769934293735155,,,welch_normal_approx,,,True,underperform,
HYP-BZ-RAW-001,listing_open_v1,OOS,raw,phase3-oos-v1,shifted_birth_date_plus_7d,把出生时间平移 +7 天后重新排盘、重算因子，在真实 TRAIN 冻结阈值下重新求解事件集合。,3361,0.909994,3205.0,,-0.022362,-0.022362,0.448033,0.000935,0.837569394726566,,,welch_normal_approx,,,True,outperform,
HYP-BZ-RAW-001,listing_close_v1,OOS,raw,phase3-oos-v1,random_event_position,"从同一分区的可用 (股票, as_of) 池中随机抽取与真实事件相同数量的事件（200 次置换），检验真实事件位置是否优于随机位置。",3052,0.820454,2856.0,0.926814,-0.022798,-0.022798,0.447312,0.00166,0.024875621890547265,0.9800995024875622,0.024875621890547265,permutation_one_sided,200.0,0.000837,True,outperform,
HYP-BZ-RAW-001,listing_close_v1,OOS,raw,phase3-oos-v1,random_birth_assignment,在同一 as_of 内把命盘（引擎方向向量）随机置换到池内其它股票，保持每日横截面分布不变，破坏「股票↔命盘」对应关系。,3052,,,,-0.021199,-0.021199,,6e-05,0.4577114427860697,0.5472636815920398,0.4577114427860697,permutation_one_sided,200.0,0.000748,True,outperform,随机出生指派只检验『股票↔命盘对应关系』是否携带信息，不能检验「同一命盘在不同日期是否有效」；后者由随机事件位置对照承担。
HYP-BZ-RAW-001,listing_close_v1,OOS,raw,phase3-oos-v1,random_model_direction,在每个 as_of 内保持命中数量不变，把命中位置随机重新指派给池内股票，检验「具体哪些股票命中」是否携带信息。,3052,,,,-0.021184,-0.021184,,4.6e-05,0.47761194029850745,0.527363184079602,0.47761194029850745,permutation_one_sided,200.0,0.000731,True,outperform,本对照只随机化命中位置，保留每日命中数量；若真实事件集合接近整个池（如原始 BAZI_POS 正向率 96%），本对照会退化。
HYP-BZ-RAW-001,listing_close_v1,OOS,raw,phase3-oos-v1,shifted_birth_date_minus_7d,把出生时间平移 -7 天后重新排盘、重算因子，在真实 TRAIN 冻结阈值下重新求解事件集合。,3345,0.891583,3125.0,,-0.020829,-0.020829,0.452588,-0.00031,0.9461893508077169,,,welch_normal_approx,,,True,underperform,
HYP-BZ-RAW-001,listing_close_v1,OOS,raw,phase3-oos-v1,shifted_birth_date_plus_7d,把出生时间平移 +7 天后重新排盘、重算因子，在真实 TRAIN 冻结阈值下重新求解事件集合。,3309,0.877028,3081.0,,-0.021623,-0.021623,0.449529,0.000485,0.9165518632209118,,,welch_normal_approx,,,True,outperform,
HYP-BZ-RAW-001,ipo_approx_v1,OOS,raw,phase3-oos-v1,random_event_position,"从同一分区的可用 (股票, as_of) 池中随机抽取与真实事件相同数量的事件（200 次置换），检验真实事件位置是否优于随机位置。",3131,0.847313,2980.0,0.950805,-0.022915,-0.022915,0.447312,0.00219,0.004975124378109453,1.0,0.004975124378109453,permutation_one_sided,200.0,0.00071,True,outperform,
HYP-BZ-RAW-001,ipo_approx_v1,OOS,raw,phase3-oos-v1,random_birth_assignment,在同一 as_of 内把命盘（引擎方向向量）随机置换到池内其它股票，保持每日横截面分布不变，破坏「股票↔命盘」对应关系。,3131,,,,-0.020943,-0.020943,,0.000218,0.3582089552238806,0.6467661691542289,0.3582089552238806,permutation_one_sided,200.0,0.000724,True,outperform,随机出生指派只检验『股票↔命盘对应关系』是否携带信息，不能检验「同一命盘在不同日期是否有效」；后者由随机事件位置对照承担。
HYP-BZ-RAW-001,ipo_approx_v1,OOS,raw,phase3-oos-v1,random_model_direction,在每个 as_of 内保持命中数量不变，把命中位置随机重新指派给池内股票，检验「具体哪些股票命中」是否携带信息。,3131,,,,-0.020957,-0.020957,,0.000231,0.3383084577114428,0.6666666666666666,0.3383084577114428,permutation_one_sided,200.0,0.000775,True,outperform,本对照只随机化命中位置，保留每日命中数量；若真实事件集合接近整个池（如原始 BAZI_POS 正向率 96%），本对照会退化。
HYP-BZ-RAW-001,ipo_approx_v1,OOS,raw,phase3-oos-v1,shifted_birth_date_minus_7d,把出生时间平移 -7 天后重新排盘、重算因子，在真实 TRAIN 冻结阈值下重新求解事件集合。,3384,0.916525,3228.0,,-0.022039,-0.022039,0.448714,0.001313,0.7710609624624644,,,welch_normal_approx,,,True,outperform,
HYP-BZ-RAW-001,ipo_approx_v1,OOS,raw,phase3-oos-v1,shifted_birth_date_plus_7d,把出生时间平移 +7 天后重新排盘、重算因子，在真实 TRAIN 冻结阈值下重新求解事件集合。,3366,0.911957,3211.0,,-0.021427,-0.021427,0.448595,0.000702,0.8769934293735155,,,welch_normal_approx,,,True,outperform,
HYP-BZ-CAL-001,listing_open_v1,OOS,calibrated,phase3-oos-v1,random_event_position,"从同一分区的可用 (股票, as_of) 池中随机抽取与真实事件相同数量的事件（200 次置换），检验真实事件位置是否优于随机位置。",831,0.126549,194.0,0.252353,-0.023063,-0.023063,0.447312,0.007347,0.08955223880597014,0.9154228855721394,0.08955223880597014,permutation_one_sided,200.0,0.005567,True,outperform,
HYP-BZ-CAL-001,listing_open_v1,OOS,calibrated,phase3-oos-v1,random_birth_assignment,在同一 as_of 内把命盘（引擎方向向量）随机置换到池内其它股票，保持每日横截面分布不变，破坏「股票↔命盘」对应关系。,831,,,,-0.02157,-0.02157,,0.005854,0.11940298507462686,0.8855721393034826,0.11940298507462686,permutation_one_sided,200.0,0.004935,True,outperform,随机出生指派只检验『股票↔命盘对应关系』是否携带信息，不能检验「同一命盘在不同日期是否有效」；后者由随机事件位置对照承担。
HYP-BZ-CAL-001,listing_open_v1,OOS,calibrated,phase3-oos-v1,random_model_direction,在每个 as_of 内保持命中数量不变，把命中位置随机重新指派给池内股票，检验「具体哪些股票命中」是否携带信息。,831,,,,-0.022574,-0.022574,,0.006859,0.07960199004975124,0.9253731343283582,0.07960199004975124,permutation_one_sided,200.0,0.004777,True,outperform,本对照只随机化命中位置，保留每日命中数量；若真实事件集合接近整个池（如原始 BAZI_POS 正向率 96%），本对照会退化。
HYP-BZ-CAL-001,listing_open_v1,OOS,calibrated,phase3-oos-v1,shifted_birth_date_minus_7d,把出生时间平移 -7 天后重新排盘、重算因子，在真实 TRAIN 冻结阈值下重新求解事件集合。,907,0.123364,198.0,,-0.013162,-0.013162,0.451574,-0.002554,0.7721499526471288,,,welch_normal_approx,,,True,underperform,
HYP-BZ-CAL-001,listing_open_v1,OOS,calibrated,phase3-oos-v1,shifted_birth_date_plus_7d,把出生时间平移 +7 天后重新排盘、重算因子，在真实 TRAIN 冻结阈值下重新求解事件集合。,898,0.129723,206.0,,-0.026547,-0.026547,0.441496,0.010831,0.21626242387722192,,,welch_normal_approx,,,True,outperform,
HYP-BZ-CAL-001,listing_close_v1,OOS,calibrated,phase3-oos-v1,random_event_position,"从同一分区的可用 (股票, as_of) 池中随机抽取与真实事件相同数量的事件（200 次置换），检验真实事件位置是否优于随机位置。",874,0.134591,214.0,0.265411,-0.023014,-0.023014,0.447312,0.005618,0.15422885572139303,0.8507462686567164,0.15422885572139303,permutation_one_sided,200.0,0.005279,True,outperform,
HYP-BZ-CAL-001,listing_close_v1,OOS,calibrated,phase3-oos-v1,random_birth_assignment,在同一 as_of 内把命盘（引擎方向向量）随机置换到池内其它股票，保持每日横截面分布不变，破坏「股票↔命盘」对应关系。,874,,,,-0.020216,-0.020216,,0.00282,0.2736318407960199,0.7313432835820896,0.2736318407960199,permutation_one_sided,200.0,0.004776,True,outperform,随机出生指派只检验『股票↔命盘对应关系』是否携带信息，不能检验「同一命盘在不同日期是否有效」；后者由随机事件位置对照承担。
